Table size: 98852
Feature;Time(s)
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
467012073;16.22
467012193;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-1140705287;16.22
-1140705167;16.22
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
