Table size: 100000
Feature;Time(s)
3703468752;34.74
3703469360;34.74
3703469888;34.74
3703470496;34.74
3703471024;34.74
3703471632;34.74
3703472160;34.74
3703472768;34.74
3703473296;34.74
3703473904;34.74
3703474432;34.74
3703475040;34.74
3703475568;34.74
3703476176;34.74
3703476704;34.74
3703477312;34.74
3703477840;34.74
3703478448;34.74
3703478976;34.74
3703479584;34.74
3703480112;34.74
3703480720;34.74
3703481248;34.74
3703481856;34.74
3703482384;34.74
3703482992;34.74
3703483520;34.74
3703484128;34.74
3703484656;34.74
3703485264;34.74
3703485792;34.74
3703486400;34.74
3703486928;34.74
3703487536;34.74
3703488064;34.74
3703488672;34.74
3703489200;34.74
3703489808;34.74
3703490336;34.74
3703490944;34.74
3703491472;34.74
3703492080;34.74
3703492608;34.74
3703493216;34.74
3703493744;34.74
3703494352;34.74
3703494880;34.74
3703495488;34.74
3703496016;34.74
3703496624;34.74
3703497152;34.74
3703497760;34.74
3703498288;34.74
3703498896;34.74
3703499424;34.74
3703500032;34.74
3703500560;34.74
3703501168;34.74
3703501696;34.74
3703502304;34.74
3703502832;34.74
3703503440;34.74
3703503968;34.74
3703504576;34.74
3703505104;34.74
3703505712;34.74
3703506240;34.74
3703506848;34.74
3703507376;34.74
3703507984;34.74
3703508512;34.74
3703509120;34.74
3703509648;34.74
3703510256;34.74
3703510784;34.74
3703511392;34.74
3703511920;34.74
3703512528;34.74
3703513056;34.74
3703513664;34.74
3703514192;34.74
3703514800;34.74
3703515328;34.74
3703515936;34.74
3703516464;34.74
3703517120;34.74
3703517648;34.74
3703518256;34.74
3703518784;34.74
3703519392;34.74
3703519920;34.74
3703520528;34.74
3703521056;34.74
3703521664;34.74
3703522192;34.74
3703522800;34.74
3703523328;34.74
3703523936;34.74
3703524464;34.74
3703525072;34.74
3703525600;34.74
3703526208;34.74
3703526736;34.74
3703527344;34.74
3703527872;34.74
3703528480;34.74
3703529008;34.74
3703529616;34.74
3703530144;34.74
3703530752;34.74
3703531280;34.74
3703531888;34.74
3703532416;34.74
3703533024;34.74
3703533552;34.74
3703534160;34.74
3703534688;34.74
3703535296;34.74
3703535824;34.74
3703536432;34.74
3703536960;34.74
3703537568;34.74
3703538096;34.74
3703538704;34.74
877475488;32.05
1478169840;34.74
1478170368;34.74
1478170976;34.74
1478171504;34.74
1478172112;34.74
1478172640;34.74
1478173248;34.74
1478173776;34.74
1478174384;34.74
1478174912;34.74
1478175520;34.74
1478176048;34.74
1478176656;34.74
1478177184;34.74
1478177792;34.74
1478178320;34.74
1478178928;34.74
1478179456;34.74
1478180064;34.74
1478180592;34.74
1478181200;34.74
1478181728;34.74
1478182336;34.74
1478182864;34.74
1478183472;34.74
1478184000;34.74
1478184608;34.74
1478185136;34.74
1478185744;34.74
1478186272;34.74
1478186880;34.74
1478187408;34.74
1478188016;34.74
1478188544;34.74
1478189152;34.74
1478189680;34.74
1478190288;34.74
1478190816;34.74
1478191424;34.74
1478191952;34.74
1478192560;34.74
1478193088;34.74
1478193696;34.74
1478194224;34.74
1478194832;34.74
1478195360;34.74
1478195968;34.74
1478196496;34.74
1478197104;34.74
1478197632;34.74
1478198240;34.74
1478198768;34.74
1478199376;34.74
1478199904;34.74
1478200512;34.74
1478201040;34.74
1478201648;34.74
1478202176;34.74
1478202784;34.74
1478203312;34.74
1478203920;34.74
1478204448;34.74
1478205056;34.74
1478205584;34.74
1478206192;34.74
1478206720;34.74
1478207328;34.74
1478207856;34.74
1478208464;34.74
1478208992;34.74
1478209600;34.74
1478210128;34.74
1478210736;34.74
1478211264;34.74
1478211872;34.74
1478212400;34.74
1478213008;34.74
1478213536;34.74
1478214144;34.74
1478214672;34.74
1478215280;34.74
1478215808;34.74
1478216416;34.74
1478216944;34.74
1478217552;34.74
1478218080;34.74
1478218688;34.74
1478219216;34.74
1478219824;34.74
1478220352;34.74
1478220960;34.74
1478221488;34.74
1478222208;34.74
1478222720;34.74
1478223296;34.74
1478223824;34.74
1478224432;34.74
1478224960;34.74
1478225568;34.74
1478226096;34.74
1478226704;34.74
1478227232;34.74
1478227840;34.74
1478228368;34.74
1478228976;34.74
1478229504;34.74
1478230112;34.74
1478230640;34.74
1478231248;34.74
1478231776;34.74
1478232384;34.74
1478232912;34.74
1478233520;34.74
1478234048;34.74
1478234656;34.74
1478235184;34.74
1478235792;34.74
1478236320;34.74
1478236928;34.74
1478237456;34.74
1478238064;34.74
1478238592;34.74
1478239200;34.74
1478239728;34.74
1478240336;34.74
1478240864;34.74
1478241472;34.74
1478242000;34.74
1478242608;34.74
1478243136;34.74
1478243744;34.74
1478244272;34.74
1478244880;34.74
1478245408;34.74
1478246016;34.74
1478246544;34.74
1478247152;34.74
1478247680;34.74
1478248288;34.74
1478248816;34.74
1478249424;34.74
1478249952;34.74
1478250560;34.74
1478251088;34.74
1478251696;34.74
1478252224;34.74
1478252832;34.74
1478253360;34.74
1478253968;34.74
1478254496;34.74
1478255104;34.74
1478255632;34.74
1478256240;34.74
1478256768;34.74
1478257376;34.74
1478257904;34.74
1478258512;34.74
1478259040;34.74
1478259648;34.74
1478260176;34.74
1478260784;34.74
1478261312;34.74
1478261920;34.74
1478262448;34.74
1478263056;34.74
1478263584;34.74
1478264192;34.74
1478264720;34.74
1478265328;34.74
1478265856;34.74
1478266464;34.74
1478266992;34.74
1478267600;34.74
1478268128;34.74
1478268736;34.74
1478269264;34.74
1478269872;34.74
1478270400;34.74
1478271008;34.74
1478271536;34.74
1478272144;34.74
1478272672;34.74
1478273280;34.74
1478273808;34.74
1478274416;34.74
1478274944;34.74
1478275552;34.74
1478276080;34.74
1478276688;34.74
1478277216;34.74
1478277824;34.74
1478278352;34.74
1478278960;34.74
1478279488;34.74
1478280096;34.74
1478280624;34.74
1478281232;34.74
1478281760;34.74
1478282368;34.74
1478282896;34.74
1478283504;34.74
1478284032;34.74
1478284640;34.74
1478285168;34.74
1478285776;34.74
1478286304;34.74
1478286912;34.74
1478287440;34.74
1478288048;34.74
1478288576;34.74
1478289184;34.74
1478289712;34.74
1478290320;34.74
1478290848;34.74
1478291456;34.74
1478291984;34.74
1478292592;34.74
1478293120;34.74
1478293728;34.74
1478294256;34.74
1478294864;34.74
1478295392;34.74
1478296000;34.74
1478296528;34.74
1478297136;34.74
1478297664;34.74
1478298272;34.74
1478298800;34.74
1478299408;34.74
1478299936;34.74
1478300544;34.74
1478301072;34.74
1478301680;34.74
1478302208;34.74
1478302816;34.74
1478303344;34.74
1478303952;34.74
1478304480;34.74
1478305088;34.74
1478305616;34.74
1478306224;34.74
1478306752;34.74
1478307360;34.74
1478307888;34.74
1478308496;34.74
1478309024;34.74
1478309632;34.74
1478310160;34.74
1478310768;34.74
1478311296;34.74
1478311904;34.74
1478312432;34.74
1478313040;34.74
1478313568;34.74
1478314176;34.74
1478314704;34.74
1478315312;34.74
1478315840;34.74
1478316448;34.74
1478316976;34.74
1478317584;34.74
1478318112;34.74
1478318720;34.74
1478319248;34.74
1478319856;34.74
1478320384;34.74
1478320992;34.74
1478321520;34.74
1478322128;34.74
1478322656;34.74
1478323264;34.74
1478323792;34.74
1478324400;34.74
1478324928;34.74
1478325536;34.74
1478326064;34.74
1478326672;34.74
1478327200;34.74
1478327808;34.74
1478328336;34.74
1478328944;34.74
1478329472;34.74
1478330080;34.74
1478330608;34.74
1478331216;34.74
1478331744;34.74
1478332352;34.74
1478332880;34.74
1478333488;34.74
1478334016;34.74
1478334624;34.74
1478335152;34.74
1478335760;34.74
1478336288;34.74
1478336896;34.74
1478337424;34.74
1478338032;34.74
1478338560;34.74
1478339168;34.74
1478339696;34.74
1478340304;34.74
1478340832;34.74
1478341440;34.74
1478341968;34.74
1478342576;34.74
1478343104;34.74
1478343712;34.74
1478344240;34.74
1478344848;34.74
1478345376;34.74
1478345984;34.74
1478346512;34.74
1478347120;34.74
1478347648;34.74
1478348256;34.74
1478348784;34.74
1478349392;34.74
1478349920;34.74
1478350528;34.74
1478351056;34.74
1478351664;34.74
1478352192;34.74
1478352800;34.74
1478353384;34.74
1478353992;34.74
1478354520;34.74
1478355128;34.74
1478355656;34.74
1478356264;34.74
1478356792;34.74
1478357400;34.74
1478357928;34.74
1478358536;34.74
1478359064;34.74
1478359672;34.74
1478360200;34.74
1478360808;34.74
1478361336;34.74
1478361944;34.74
1478362472;34.74
1478363080;34.74
1478363608;34.74
1478364216;34.74
1478364744;34.74
1478365352;34.74
1478365880;34.74
1478366488;34.74
1478367016;34.74
