Procedure;Address;Image;Calls;Instructions
__libc_malloc;139732663378224;libc.so.6;14326146;730440432
my_charset_same;94554517074304;mysqld;168311710;700409038
escape_string_for_mysql;94554517077952;mysqld;341564;687571532
pthread_mutex_unlock;139732673717440;libpthread.so.0;28921030;680677604
_ZNK7handler6ha_thdEv;94554511605344;mysqld;64779616;647796082
thd_ha_data;94554509673552;mysqld;86711498;606980486
_ZN10Field_long6unpackEPhPKhS2_j;94554511555616;mysqld;54709825;492388425
_ZN17Aggregator_simple15arg_val_decimalEP10my_decimal;94554512262896;mysqld;53614437;482529933
_ZN4JOIN14optimize_innerEv;94554510227456;mysqld;564012;480845998
.text;94554514282208;mysqld;0;472885861
_ZN5Field9get_imageEPhjPK15charset_info_st;94554510940384;mysqld;56245585;449964680
_ZN5Field15do_field_stringEP10Copy_field;94554511565312;mysqld;0;437814832
cfree;139732663379184;libc.so.6;15379892;433184589
_ZN10SQL_SELECT17test_quick_selectEP3THD6BitmapILj64EEyybbb;94554512648080;mysqld;767880;395768627
_ZN10Field_long4packEPhPKhj;94554511555568;mysqld;56361063;394527441
galera_append_data;139732440346416;libgalera_smm.so;11469;384049262
decimal_add;94554517520352;mysqld;53614437;375301059
_ZN17Aggregator_simple3addEv;94554512297792;mysqld;53614437;375301059
_ZN12Item_sum_sum3addEv;94554512293520;mysqld;53614437;375301059
_ZNK2gu15RecordSetInBase8checksumEv;139732438586080;libgalera_smm.so;22966;355353438
set_thd_stage_info;94554509672480;mysqld;9562356;340257832
my_fill_8bit;94554517407200;mysqld;55582571;333495426
my_hash_first_from_hash_value;94554517088672;mysqld;2441242;328640508
_ZN16Log_event_writer17encrypt_and_writeEPKhm;94554512499712;mysqld;10118742;323799744
_Z11open_tablesP3THDRK14DDL_options_stPP10TABLE_LISTPjjP19Prelocking_strategy;94554509606688;mysqld;1023146;319646299
_ZN17Query_cache_block4dataEv;94554509638864;mysqld;26291517;315498204
crc32cHardware64;139732438393424;libgalera_smm.so;543578;314055130
_ZNK10Item_field11used_tablesEv;94554511736656;mysqld;13142262;297178724
_Z21mysql_execute_commandP3THD;94554509887968;mysqld;1042307;296486255
_ZN11Query_cache14get_free_blockEmcm;94554509643040;mysqld;1157876;295307881
_ZN11Query_cache8find_binEm;94554509641040;mysqld;4477156;292960912
clock_gettime;140722991847952;[vdso];5052174;292325031
_ZNK9Field_num7charsetEv;94554511549824;mysqld;57666591;288332955
__pthread_getspecific;139732673729232;libpthread.so.0;16604708;282222726
_Z16dispatch_command19enum_server_commandP3THDPcjbb;94554509928112;mysqld;1056111;274452415
_ZNK27Type_handler_decimal_result11result_typeEv;94554511096720;mysqld;53949940;269749700
my_convert;94554517497440;mysqld;3879664;244358044
_ZN3THD21decide_logging_formatEP10TABLE_LIST;94554509705744;mysqld;1019546;244196322
_ZN17Query_cache_block11headers_lenEv;94554509638848;mysqld;34597754;242184278
my_malloc;94554517229712;mysqld;6286295;241265918
_Z20find_field_in_tablesP3THDP10Item_identP10TABLE_LISTS4_PP4Item27find_item_error_report_typebb;94554509615328;mysqld;2274481;238923801
_Z12setup_fieldsP3THD20Bounds_checked_arrayIP4ItemER4ListIS2_E17enum_mark_columnsPS6_S9_b;94554509618432;mysqld;1700629;238880833
_ZN11Query_cache8try_lockEP3THDNS_19Cache_try_lock_modeE;94554509636560;mysqld;2978349;235289571
_ZN10Item_field9set_fieldEP5Field;94554511690080;mysqld;2274481;230519056
_ZN8Protocol17net_store_data_csEPKhmPK15charset_info_stS4_;94554509346944;mysqld;3438474;216623862
_ZN4JOIN7prepareEP10TABLE_LISTjP4ItemjP8st_orderbS5_S3_S5_P13st_select_lexP18st_select_lex_unit;94554510185424;mysqld;566012;212290173
strlen;139732663408416;libc.so.6;12488088;210841442
my_b_safe_write;94554517107424;mysqld;10118745;201897020
_Z8pack_rowP5TABLEPK9st_bitmapPhPKh;94554512559248;mysqld;825619;198148560
.text;140722991847744;[vdso];0;198029362
_ZN6galera9KeySetOut6appendERKNS_7KeyDataE;139732439851728;libgalera_smm.so;628893;196167721
_Z10open_tableP3THDP10TABLE_LISTP18Open_table_context;94554509596432;mysqld;1022812;195909716
_ZN10Item_field10fix_fieldsEP3THDPP4Item;94554511719328;mysqld;2274481;194233485
_ZN14Item_bool_func11get_mm_leafEP15RANGE_OPT_PARAMP5FieldP8KEY_PARTN9Item_func8FunctypeEP4Item;94554512602128;mysqld;1535760;191625790
_ZN6galera9KeySetOut7KeyPartC1ERNS0_8KeyPartsERS0_PKS1_RKNS_7KeyDataEii;139732439846384;libgalera_smm.so;567691;185528623
_ZN4JOIN20get_best_combinationEv;94554510100720;mysqld;563834;183575570
_ZN14Item_bool_func12get_mm_partsEP15RANGE_OPT_PARAMP5FieldN9Item_func8FunctypeEP4Item;94554512623952;mysqld;1194187;180345970
_ZN11Query_cache21send_result_to_clientEP3THDPcj;94554509649248;mysqld;1047987;179548280
my_longlong10_to_str_8bit;94554517406880;mysqld;1594079;177617405
_ZN18Prepared_statement7executeEP6Stringb;94554510006928;mysqld;1036146;177046441
my_string_repertoire_8bit;94554517496544;mysqld;341580;172490828
query_cache_query_get_key;94554509638960;mysqld;7352736;169112928
_ZN9Item_func10fix_fieldsEP3THDPP4Item;94554511957104;mysqld;1022872;164296723
thd_test_options;94554509673744;mysqld;26765599;160593594
multi_alloc_root;94554517197200;mysqld;670762;160151960
_Z22sel_arg_range_seq_nextPvP18st_key_multi_range;94554512606976;mysqld;1535760;160076435
_Z12mysql_updateP3THDP10TABLE_LISTR4ListI4ItemES6_PS4_jP8st_ordery15enum_duplicatesbPySB_;94554510528432;mysqld;227720;159085280
_Z12mysql_selectP3THDP10TABLE_LISTjR4ListI4ItemEPS4_jP8st_orderS9_S7_S9_yP13select_resultP18st_select_lex_unitP13st_select_lex;94554510247664;mysqld;564012;158487372
_ZNK10Item_param11used_tablesEv;94554511737984;mysqld;17469682;157227138
_Z14get_quick_keysP5PARAMP18QUICK_RANGE_SELECTP8KEY_PARTP7SEL_ARGPhjS7_j;94554512660896;mysqld;767880;156909633
_ZN13st_join_table17save_explain_dataEP20Explain_table_accessybPS_;94554510213024;mysqld;541392;155736628
my_vsnprintf_ex;94554517551600;mysqld;227914;155122893
_Z19find_field_in_tableP3THDP5TABLEPKcjbPj;94554509612016;mysqld;2274481;152493345
_ZN16Log_event_writer14write_internalEPKhm;94554512499568;mysqld;10118742;151781130
_Z16first_linear_tabP4JOIN20enum_with_bush_roots22enum_with_const_tables;94554510098224;mysqld;7105778;149242182
_Z16create_tmp_tableP3THDP15TMP_TABLE_PARAMR4ListI4ItemEP8st_orderbbyyPKcbb;94554510150704;mysqld;106857;146281537
_ZN4JOIN24save_explain_data_internEP13Explain_querybbbPKc;94554510217680;mysqld;564012;143204880
net_real_write;94554509326032;mysqld;2165132;142898707
_ZN11Query_cache11store_queryEP3THDP10TABLE_LIST;94554509655056;mysqld;564012;141484954
free_root;94554517197504;mysqld;4027783;140618382
_ZN8Protocol24send_result_set_metadataEP4ListI4ItemEj;94554509351792;mysqld;569612;140615172
_Z13get_lock_dataP3THDPP5TABLEjj;94554512463392;mysqld;1019372;136582274
_Z15next_linear_tabP4JOINP13st_join_table20enum_with_bush_roots;94554510098320;mysqld;5926038;136512232
_Z15ha_commit_transP3THDb;94554511600656;mysqld;1036622;134836628
strmake;94554517554960;mysqld;1724383;134664657
_ZN16Log_event_writer10write_dataEPKhm;94554512500320;mysqld;6377037;133994709
_Z17mysql_lock_tablesP3THDP13st_mysql_lockj;94554512461200;mysqld;1019368;133532958
_ZN4JOIN21make_aggr_tables_infoEv;94554510193424;mysqld;541570;131645557
_ZN4JOIN7cleanupEb;94554510148032;mysqld;1130024;128359607
my_free;94554517229984;mysqld;8644705;126514835
_Z10do_commandP3THD;94554509937984;mysqld;1056112;125677326
_ZN11Query_cache6unlockEv;94554509640288;mysqld;3387337;125331469
_ZN4ItemnwEmP11st_mem_root;94554509362080;mysqld;15638794;125110352
create_last_word_mask;94554517198080;mysqld;4582247;123720573
_ZN6String6appendEPKcm;94554510396096;mysqld;3302042;118873452
_Z11net_send_okP3THDjjyyPKcbb;94554509347312;mysqld;1042333;117862614
my_bitmap_init;94554517198208;mysqld;3971492;115173295
init_dynamic_array2;94554517067984;mysqld;4953453;113957769
_ZN11MDL_context11find_ticketEP11MDL_requestP17enum_mdl_duration;94554510797072;mysqld;1478382;113467257
_Z11check_grantP3THDmP10TABLE_LISTbjb;94554509558768;mysqld;1028637;112091431
_Z17tdc_acquire_shareP3THDP10TABLE_LISTjPP5TABLE;94554511243216;mysqld;1022806;111437527
_Z22reinit_stmt_before_useP3THDP3LEX;94554509989440;mysqld;1036146;110321392
_Z12setup_tablesP3THDP23Name_resolution_contextP4ListI10TABLE_LISTEPS4_RS5_bb;94554509619520;mysqld;1023121;109011492
_ZN19Table_map_log_eventC1EP3THDP5TABLEmb;94554512539344;mysqld;408963;108375195
_ZNK10Item_ident17get_depended_fromEv;94554511735200;mysqld;13406312;107250496
_Z16init_read_recordP11READ_RECORDP3THDP5TABLEP10SQL_SELECTP9SORT_INFOibb;94554512697568;mysqld;874746;106638119
_Z12check_accessP3THDmPKcPmP22st_grant_internal_infobb;94554509864656;mysqld;1028637;105943203
_ZN18Prepared_statement17execute_bulk_loopEP6StringbPhS2_;94554510008352;mysqld;0;104952352
_ZN5TABLE4initEP3THDP10TABLE_LIST;94554510597472;mysqld;1022806;104327900
pthread_rwlock_unlock;139732673724080;libpthread.so.0;2968228;103913556
_ZN11Query_cache28insert_into_free_memory_listEP17Query_cache_block;94554509641312;mysqld;3319280;99578400
_Z19check_stack_overrunP3THDlPh;94554509868880;mysqld;4148656;99567744
_Z11setup_condsP3THDP10TABLE_LISTR4ListIS1_EPP4Item;94554509625008;mysqld;908785;98611605
_Z11lock_tablesP3THDP10TABLE_LISTjj;94554509604864;mysqld;1019546;97863250
vio_write;94554517577072;mysqld;2165131;97430899
_ZN9Item_func18update_used_tablesEv;94554509633552;mysqld;1468462;96677045
_ZN11Query_cache6insertEP3THDP15Query_cache_tlsPKcmj;94554509653888;mysqld;2165132;96116903
_Z15use_trans_cachePK3THDb;94554512387808;mysqld;5612627;95915823
_ZNK10Field_long4typeEv;94554511551008;mysqld;19045122;95225610
_ZN16Log_event_writer12write_headerEPhm;94554512500048;mysqld;2486823;94613979
_ZN3THD31binlog_flush_pending_rows_eventEbb;94554509709184;mysqld;2540145;94307921
_Z16advance_sj_stateP4JOINyjPdS1_P11st_position;94554510980096;mysqld;426485;93400215
vio_read;94554517576352;mysqld;2113354;93144621
_ZN4JOIN10exec_innerEv;94554510244128;mysqld;564012;91046519
_Z19close_thread_tablesP3THD;94554509591264;mysqld;1335613;89485203
_ZN11String_list10append_strEP11st_mem_rootPKc;94554510884224;mysqld;1880481;88382607
_ZN7handler16ha_external_lockEP3THDi;94554511628480;mysqld;2038404;87651372
thd_get_ha_data;94554509673600;mysqld;14591871;87551226
my_hash_insert;94554517089552;mysqld;598567;87149569
lf_hash_search_using_hash_value;94554517293312;mysqld;1094996;86425408
_ZN3THD22reset_for_next_commandEb;94554509869408;mysqld;1051988;86342226
__clock_gettime;139732663973968;libc.so.6;5052174;85886958
_ZNK3THD29binlog_get_pending_rows_eventEb;94554512389552;mysqld;3169020;85441884
my_hash_delete;94554517090496;mysqld;597648;85369308
_Z17mysql_lock_tablesP3THDPP5TABLEjj;94554512464176;mysqld;1019368;85297898
bitmap_fast_test_and_set;94554517198544;mysqld;5323631;85178096
_ZN16Item_func_or_sum4walkEM4ItemFbPvEbS1_;94554509630752;mysqld;1125628;83962034
_ZN7handler27multi_range_read_info_constEjP15st_range_seq_ifPvjPjS3_P13Cost_estimate;94554510948672;mysqld;767880;83269976
_ZN6galera13Certification10do_test_v3EPNS_9TrxHandleEb;139732439963664;libgalera_smm.so;11483;83262071
_ZN13st_join_table7cleanupEv;94554510147152;mysqld;1234347;81727336
_Z19wsrep_register_htonP3THDb;94554511136144;mysqld;1036638;81356884
_Z11alloc_queryP3THDPKcj;94554509864048;mysqld;1040602;80126402
_ZN4ItemC2EP3THD;94554511677920;mysqld;1477098;79766226
_ZN11Query_cache29exclude_from_free_memory_listEP17Query_cache_block;94554509642960;mysqld;3319279;79662696
_ZN14Item_bool_func21get_full_func_mm_treeEP15RANGE_OPT_PARAMP10Item_fieldP4Item;94554512630976;mysqld;767880;78916898
_Z12mysql_insertP3THDP10TABLE_LISTR4ListI4ItemERS3_IS5_ES6_S6_15enum_duplicatesb;94554509809408;mysqld;113936;78912584
_Z11fill_recordP3THDP5TABLER4ListI4ItemES6_bb;94554509625616;mysqld;530592;78399740
send;139732673739136;libpthread.so.0;2165131;77944726
_ZN9Log_event12write_headerEm;94554512502048;mysqld;1254945;77806764
my_timer_cycles;94554517340992;mysqld;11051732;77362124
