              Procedure           Image            Address        Calls Instructions
             malloc@plt          mysqld       565459bd1180        77974        77974
_ZN11select_send9send_dataER4ListI4ItemE          mysqld       565459c61950        73780      3320100
_ZN3THD18inc_sent_row_countEy          mysqld       565459c61910        73780       664020
_ZN15Protocol_binary5storeEPKcmPK15charset_info_st          mysqld       565459c0d430        73780       516460
_ZN8Protocol19send_result_set_rowEP4ListI4ItemE          mysqld       565459c0c500        73780      4721920
_ZN8Protocol14net_store_dataEPKhm          mysqld       565459c0b410        73780      2877420
_ZN15Protocol_binary18prepare_for_resendEv          mysqld       565459c0abc0        73780      1475600
       my_lengthsp_8bit          mysqld       56545a3bbb20        73088      1835005
_ZN12Field_string7val_strEP6StringS1_          mysqld       565459e1a500        73088      2704256
_ZN10Item_field4sendEP8ProtocolP6String          mysqld       565459e3c7c0        73049       657441
_ZN5Field11send_binaryEP8Protocol          mysqld       565459e12ba0        73049      2995009
_ZN15Protocol_binary5storeEP5Field          mysqld       565459c0afd0        73049      1241833
my_hash_first_from_hash_value          mysqld       56545a36d9a0        73045     42920701
_Z10strconvertPK15charset_info_stPKcjS1_PcjPj          mysqld       565459d329e0        72975     13867269
                my_free          mysqld       56545a3901a0        72475      1198913
         my_hash_search          mysqld       56545a36db70        72338       506366
          my_hash_first          mysqld       56545a36db20        72338      1953134
             memcmp@plt libgalera_smm.so       7fc74c1fdcf0        71130        71130
  _ZNK7handler6ha_thdEv          mysqld       565459e32e60        69791       697889
_ZN11Query_cache26double_linked_list_excludeEP17Query_cache_blockPS1_          mysqld       565459c53c80        69636       810850
              free_root          mysqld       56545a3882c0        64587      2446930
             _ZdlPv@plt libgalera_smm.so       7fc74c1fe220        64106        64106
      set_thd_proc_info          mysqld       565459c5b110        62031       930465
_ZN24Item_bool_rowready_func27cleanupEv          mysqld       565459e6b560        61442      1228840
              my_malloc          mysqld       56545a390090        61343      2347702
    pthread_cond_signal libpthread.so.0       7fc75a26f9c0        60182       845210
_ZN11Query_cache6unlockEv          mysqld       565459c53260        60008      2220296
_ZN11Query_cache8try_lockEP3THDNS_19Cache_try_lock_modeE          mysqld       565459c523d0        59994      4739526
 _ZN4Item10check_colsEj          mysqld       565459e41700        57262       229048
_Z16first_linear_tabP4JOIN20enum_with_bush_roots22enum_with_const_tables          mysqld       565459cc2f30        56820      1176424
              _Znwm@plt libgalera_smm.so       7fc74c1fe2c0        56560        56560
 pthread_mutex_lock@plt libgalera_smm.so       7fc74c1fe830        56457        56457
pthread_mutex_unlock@plt libgalera_smm.so       7fc74c1fe0c0        56457        56457
            CRYPTO_lock libcrypto.so.1.0.0       7fc75a6e5460        56226       337356
       CRYPTO_num_locks libcrypto.so.1.0.0       7fc75a6e4fa0        56034       112068
             my_convert          mysqld       56545a3d1660        55500      6248712
_ZNK10Item_field4typeEv          mysqld       565459e53280        54823       274115
 _ZN6String6appendERKS_          mysqld       565459d0ba30        54382      1794606
my_longlong10_to_str_8bit          mysqld       56545a3bb4a0        54378      5437800
_ZN10Item_param17convert_str_valueEP3THD          mysqld       565459e4b490        54378      1196316
_ZThn136_N10Item_param14append_for_logEP3THDP6String          mysqld       565459e4b480        54378       108756
_ZN10Item_param14append_for_logEP3THDP6String          mysqld       565459e4b3b0        54378      1685718
_ZNK10Item_param13query_val_strEP3THDP6String          mysqld       565459e4b010        54378      1468206
_ZN10Item_param5resetEv          mysqld       565459e4a2d0        54378      1576962
_ZN10Item_param7set_intExj          mysqld       565459e494b0        54378       870048
_ZN6String7set_intExbPK15charset_info_st          mysqld       565459d0b310        54378      1957608
_ZN3THD24has_thd_temporary_tablesEv          mysqld       565459ddb9e0        54289       434314
_ZN17Query_cache_block5tableEj          mysqld       565459c52da0        54096       378672
    _ZnwmRKSt9nothrow_t  libstdc++.so.6       7fc759f6dec0        53714       590854
           pthread_self libpthread.so.0       7fc75a26ac10        51796       103592
  pthread_rwlock_wrlock libpthread.so.0       7fc75a26e810        51494      1338844
  pthread_mutex_destroy libpthread.so.0       7fc75a26b6b0        50438       504380
     pthread_mutex_init libpthread.so.0       7fc75a26b5a0        50438      1362933
_ZN3THD22set_examined_row_countEy          mysqld       565459c618d0        50347       402776
             memcpy@plt libgalera_smm.so       7fc74c1fe140        50022        50022
        thd_get_ha_data          mysqld       565459c5b480        49047       294282
_ZN11Query_arena10free_itemsEv          mysqld       565459c5e620        48848      1213966
              my_hrtime          mysqld       56545a38e180        48529       776464
_Z19mysql_audit_releaseP3THD          mysqld       565459d614f0        48381       290286
_ZN8Protocol13end_statementEv          mysqld       565459c0c0b0        48362      1153498
     my_net_read_packet          mysqld       565459c074f0        48362       435258
