Procedure;Image;Calls;Instructions
boost::date_time::microsec_clock<boost::posix_time::ptime>::create_time(tm* (*)(long const*, tm*)) [clone .constprop.658];libgalera_smm.so;292;36792
gcomm::View::id() const;libgalera_smm.so;18340;36680
std::_Rb_tree<gcomm::UUID, std::pair<gcomm::UUID const, gcomm::pc::Node>, std::_Select1st<std::pair<gcomm::UUID const, gcomm::pc::Node> >, std::less<gcomm::UUID>, std::allocator<std::pair<gcomm::UUID const, gcomm::pc::Node> > >::_Rb_tree(std::_Rb_tree<gcomm::UUID, std::pair<gcomm::UUID const, gcomm::pc::Node>, std::_Select1st<std::pair<gcomm::UUID const, gcomm::pc::Node> >, std::less<gcomm::UUID>, std::allocator<std::pair<gcomm::UUID const, gcomm::pc::Node> > > const&);libgalera_smm.so;1558;36126
parse_sql(THD*, Parser_state*, Object_creation_ctx*, bool);mysqld;656;35856
Query_cache::invalidate_table(THD*, TABLE_LIST*);mysqld;2085;35457
gcomm::evs::InputMap::range(unsigned long) const [clone .isra.154];libgalera_smm.so;1674;35154
Query_cache_block::result();mysqld;8750;35000
MYSQL_BIN_LOG::queue_for_group_commit(MYSQL_BIN_LOG::group_commit_entry*);mysqld;629;34595
setup_wild(THD*, TABLE_LIST*, List<Item>&, List<Item>*, unsigned int);mysqld;8559;34236
allocate_dynamic;mysqld;8555;34220
select_result::prepare_to_read_rows();mysqld;8550;34200
open_cached_file;mysqld;1257;33939
trans_commit(THD*);mysqld;625;33750
__pthread_rwlock_rdlock;libpthread.so.0;703;33744
handler::ha_delete_row(unsigned char const*);mysqld;486;33534
std::_Rb_tree<gcomm::UUID, std::pair<gcomm::UUID const, gcomm::pc::Node>, std::_Select1st<std::pair<gcomm::UUID const, gcomm::pc::Node> >, std::less<gcomm::UUID>, std::allocator<std::pair<gcomm::UUID const, gcomm::pc::Node> > >::find(gcomm::UUID const&);libgalera_smm.so;779;33507
end_io_cache;mysqld;1274;33175
Update_rows_log_event::init(st_bitmap const*);mysqld;968;32912
gcomm::pc::Message::serialize(unsigned char*, unsigned long, unsigned long) const;libgalera_smm.so;761;32783
Item_sum_sum::fix_length_and_dec();mysqld;626;32552
non-virtual thunk to Item_param::append_for_log(THD*, String*);mysqld;16250;32500
__vsprintf_chk;libc.so.6;703;32338
galera::WriteSetNG::Header::gather(galera::KeySet::Version, galera::DataSet::Version, bool, bool, unsigned short, wsrep_uuid const&, unsigned long const&, unsigned long const&, gu::Vector<gu_buf, 16ul>&);libgalera_smm.so;632;32232
rpl_binlog_state::update_with_next_gtid(unsigned int, unsigned int, rpl_gtid*);mysqld;632;32232
handler::ha_rnd_init_with_error(bool);mysqld;1889;32113
THD::binlog_delete_row(TABLE*, bool, unsigned char const*);mysqld;486;31590
my_decimal2string(unsigned int, my_decimal const*, unsigned int, unsigned int, char, String*);mysqld;631;31550
handler::ha_was_semi_consistent_read();mysqld;2422;31486
MYSQL_BIN_LOG::mark_xid_done(unsigned long, bool);mysqld;629;31450
Item_sum::type() const;mysqld;6252;31260
@plt;libc.so.6;31251;31251
gcache::GCache::malloc(int);libgalera_smm.so;632;30968
RecvBufData::~RecvBufData();libgalera_smm.so;1172;30724
boost::posix_time::simple_time_rep::simple_time_rep(boost::gregorian::date, boost::posix_time::time_duration);libgalera_smm.so;590;30630
Mrr_simple_index_reader::refill_buffer(bool);mysqld;4375;30625
DsMrr_impl::dsmrr_explain_info(unsigned int, char*, unsigned long);mysqld;4375;30625
gcomm::pc::Proto::handle_msg(gcomm::pc::Message const&, gcomm::Datagram const&, gcomm::ProtoUpMeta const&);libgalera_smm.so;783;30549
MYSQL_BIN_LOG::write_event(Log_event*, st_io_cache*);mysqld;1268;30432
MDL_ticket::destroy(MDL_ticket*);mysqld;3804;30432
Field_num::size_of() const;mysqld;6081;30405
gcomm::evs::Message::serial_size() const;libgalera_smm.so;4342;30394
galera::WriteSetIn::init(long);libgalera_smm.so;632;30336
gu::header_version(unsigned char const*, long) [clone .isra.46];libgalera_smm.so;1264;30336
Item_field::set_item_equal(Item_equal*);mysqld;6046;30230
Item_field::get_item_equal();mysqld;6046;30230
is_update_query(enum_sql_command);mysqld;3767;30136
QUICK_RANGE_SELECT::unique_key_range();mysqld;1250;30000
st_join_table::is_using_agg_loose_index_scan();mysqld;1250;30000
gcs_sm_enter(gcs_sm*, pthread_cond_t*, bool, bool);libgalera_smm.so;643;29812
MYSQL_BIN_LOG::write_transaction_to_binlog(THD*, binlog_cache_mngr*, Log_event*, bool, bool, bool);mysqld;629;29559
gcomm::AsioProtonet::handle_wait(asio::error_code const&);libgalera_smm.so;147;29554
Field::reset_fields();mysqld;7296;29184
Gtid_log_event::write();mysqld;632;29072
Item_num_op::fix_length_and_dec();mysqld;626;28796
Item::save_in_field(Field*, bool);mysqld;473;28380
_IO_setb;libc.so.6;1566;28364
__cxa_atexit;libc.so.6;1287;28314
MYSQL_BIN_LOG::mark_xids_active(unsigned long, unsigned int);mysqld;629;28305
my_charset_loader_init_mysys;mysqld;1567;28206
String::append(char const*);mysqld;1880;28200
handler::ha_index_or_rnd_end();mysqld;2504;28165
fscanf;libc.so.6;1647;27999
Item::init_make_field(Send_field*, enum_field_types);mysqld;647;27821
bitmap_lock_clear_bit;mysqld;629;27676
TC_LOG::run_commit_ordered(THD*, bool);mysqld;629;27676
free_underlaid_joins(THD*, st_select_lex*);mysqld;2504;27544
SQL_SELECT::~SQL_SELECT();mysqld;6879;27516
Explain_update::~Explain_update();mysqld;1250;27500
__errno_location;libpthread.so.0;9134;27402
Item_ident::Item_ident(THD*, Item_ident*);mysqld;625;26875
Field_string::get_copy_func(Field const*) const;mysqld;625;26875
__vdso_time;[vdso];3824;26770
Rows_log_event* THD::binlog_prepare_pending_rows_event<Delete_rows_log_event>(TABLE*, unsigned int, unsigned long, bool, Delete_rows_log_event*);mysqld;486;26730
std::basic_ostream<char, std::char_traits<char> >::sentry::sentry(std::basic_ostream<char, std::char_traits<char> >&);libstdc++.so.6;1157;26611
MYSQL_BIN_LOG::rotate(bool, bool*);mysqld;632;26517
Field::eq_def(Field const*) const;mysqld;625;26250
boost::date_time::int_adapter<long>::compare(boost::date_time::int_adapter<long> const&) const;libgalera_smm.so;1320;25956
__pthread_rwlock_destroy;libpthread.so.0;8644;25932
TC_LOG::run_prepare_ordered(THD*, bool);mysqld;629;25789
eliminate_tables(JOIN*);mysqld;8550;25650
Field_string::reset();mysqld;625;25625
std::tr1::_Hashtable<unsigned long, std::pair<unsigned long const, galera::TrxHandle*>, std::allocator<std::pair<unsigned long const, galera::TrxHandle*> >, std::_Select1st<std::pair<unsigned long const, galera::TrxHandle*> >, std::equal_to<unsigned long>, galera::Wsdb::TrxHash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_insert_bucket(std::pair<unsigned long const, galera::TrxHandle*> const&, unsigned long, unsigned long);libgalera_smm.so;629;25160
Item::send(Protocol*, String*);mysqld;629;25160
unsafe_mixed_statement(Query_tables_list::enum_stmt_accessed_table, Query_tables_list::enum_stmt_accessed_table, unsigned int);mysqld;13;25142
TABLE_LIST::get_unit();mysqld;3134;25072
bitmap_is_subset;mysqld;1250;25000
THD::inc_status_select_range();mysqld;2500;25000
lh_free;libcrypto.so.1.0.0;7;24939
lex_end_stage2(LEX*);mysqld;655;24890
gcache::RingBuffer::get_new_buffer(unsigned int);libgalera_smm.so;632;24648
MYSQL_BIN_LOG::log_and_order(THD*, unsigned long long, bool, bool, bool);mysqld;629;24531
intern_filename;mysqld;740;24420
wsrep_xid_init(xid_t*, wsrep_uuid const&, long);mysqld;633;24054
wsrep_post_commit;mysqld;630;23929
TABLE::mark_auto_increment_column();mysqld;629;23902
st_select_lex_unit::init_query();mysqld;663;23868
cmp_item_int::store_value(Item*);mysqld;1490;23840
clock_gettime@plt;libgalera_smm.so;23752;23752
Item::val_string_from_decimal(String*);mysqld;625;23750
lf_alloc_new;mysqld;691;23626
Lex_input_stream::reset(char*, unsigned int);mysqld;656;23616
gcomm::evs::InputMap::safe_seq(unsigned long) const [clone .isra.155];libgalera_smm.so;2607;23463
std::locale::locale();libstdc++.so.6;1230;23370
Update_rows_log_event::Update_rows_log_event(THD*, TABLE*, unsigned long, bool);mysqld;968;23232
ERR_load_strings;libcrypto.so.1.0.0;56;23116
Query_tables_list::reset_query_tables_list(bool);mysqld;701;23116
memchr;libc.so.6;822;23001
unpack_dirname;mysqld;735;22825
bitmap_lock_set_next;mysqld;629;22644
open_tmp_table(TABLE*);mysqld;629;22644
my_snprintf;mysqld;1254;22572
Field::cmp_type() const;mysqld;3752;22512
get_ptr_compare;mysqld;1250;22500
Item_field::collect_item_field_processor(void*);mysqld;625;22500
SORT_INFO::~SORT_INFO();mysqld;1250;22500
Explain_table_access::push_extra(explain_extra_tag);mysqld;2500;22500
gcs_schedule(gcs_conn*);libgalera_smm.so;632;22120
_my_b_read;mysqld;882;22050
MDL_lock::reschedule_waiters();mysqld;626;21910
Item_sum_sum::sum_func() const;mysqld;3126;21882
Item_func_eq::eq_cmp_result() const;mysqld;4375;21875
get_new_handler(TABLE_SHARE*, st_mem_root*, handlerton*);mysqld;683;21856
add_to_status(system_status_var*, system_status_var*);mysqld;26;21788
_pthread_cleanup_pop_restore;libpthread.so.0;2687;21496
open_table_from_share(THD*, TABLE_SHARE*, char const*, unsigned int, unsigned int, unsigned int, TABLE*, bool);mysqld;25;21336
Item_func_plus::int_op();mysqld;473;21285
Item_sum::update_used_tables();mysqld;626;21284
std::locale::id::_M_id() const;libstdc++.so.6;4175;21243
my_strdup;mysqld;758;21224
gu::RecordSetInBase::RecordSetInBase(unsigned char const*, unsigned long, bool);libgalera_smm.so;1896;20856
Annotate_rows_log_event::write_data_body();mysqld;2083;20830
Field::do_save_field_metadata(unsigned char*);mysqld;4166;20830
_my_b_write;mysqld;353;20827
MYSQL_BIN_LOG::write_transaction_to_binlog_events(MYSQL_BIN_LOG::group_commit_entry*);mysqld;629;20757
String::needs_conversion(unsigned int, charset_info_st const*, charset_info_st const*, unsigned int*);mysqld;2113;20701
Item_sum::cleanup();mysqld;1252;20655
gu::Stats::insert(double);libgalera_smm.so;761;20532
unsigned long gu::unserialize_helper<unsigned int, unsigned int>(void const*, unsigned long, unsigned long, unsigned int&);libgalera_smm.so;1566;20358
Item_func_eq::val_int();mysqld;1454;20356
gcs_act_proto_read(gcs_act_frag*, void const*, unsigned long);libgalera_smm.so;750;20250
_IO_getline_info;libc.so.6;324;20140
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long);libstdc++.so.6;1789;20054
memmove@plt;libgalera_smm.so;20048;20048
Duplicate_weedout_picker::check_qep(JOIN*, unsigned int, unsigned long long, st_join_table const*, double*, double*, unsigned long long*, sj_strategy_enum*, st_position*);mysqld;2504;20032
check_unique_table(THD*, TABLE_LIST*);mysqld;1252;20032
SEL_IMERGE::SEL_IMERGE(SEL_IMERGE*, unsigned int, RANGE_OPT_PARAM*);mysqld;0;20000
simple_remove_const(st_order*, Item*);mysqld;1250;20000
mdl_hash_function(charset_info_st const*, unsigned char const*, unsigned long);mysqld;3299;19794
Lex_input_stream::init(THD*, char*, unsigned int);mysqld;656;19680
galera::MappedBuffer::~MappedBuffer();libgalera_smm.so;632;19592
Update_rows_log_event::~Update_rows_log_event();mysqld;968;19360
gu::RecordSet::RecordSet(gu::RecordSet::Version, gu::RecordSet::CheckType);libgalera_smm.so;1896;18960
MYSQL_BIN_LOG::flush_and_sync(bool*);mysqld;632;18960
remove_status_vars(st_mysql_show_var*);mysqld;4;18797
QUICK_RANGE_SELECT::add_used_key_part_to_set();mysqld;625;18750
Item_field::get_tmp_table_item(THD*);mysqld;625;18750
ending_single_stmt_trans(THD*, bool);mysqld;2079;18711
boost::date_time::microsec_clock<boost::posix_time::ptime>::create_time(tm* (*)(long const*, tm*)) [clone .constprop.209];libgalera_smm.so;148;18648
std::ios_base::ios_base();libstdc++.so.6;310;18290
std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&);libstdc++.so.6;608;18240
asio::asio_handler_is_continuation(...);libgalera_smm.so;9082;18164
Item_sum::set_aggregator(Aggregator::Aggregator_type);mysqld;625;18125
plugin_lock(THD*, st_plugin_int*);mysqld;687;17831
MYSQL_BIN_LOG::signal_update();mysqld;1266;17724
my_read;mysqld;340;17686
Duplicate_weedout_picker::set_empty();mysqld;2504;17528
restore_prev_sj_state(unsigned long long, st_join_table const*, unsigned int);mysqld;2504;17528
Filesort_buffer::free_sort_buffer();mysqld;1250;17500
Item_func_between::count_sargable_conds(void*);mysqld;2500;17500
MDL_lock::lf_hash_initializer(st_lf_hash*, MDL_lock*, MDL_key*);mysqld;668;17368
strnlen;libc.so.6;467;17233
std::_Rb_tree<gcomm::UUID, std::pair<gcomm::UUID const, gcomm::gmcast::Node>, std::_Select1st<std::pair<gcomm::UUID const, gcomm::gmcast::Node> >, std::less<gcomm::UUID>, std::allocator<std::pair<gcomm::UUID const, gcomm::gmcast::Node> > >::_M_erase(std::_Rb_tree_node<std::pair<gcomm::UUID const, gcomm::gmcast::Node> >*);libgalera_smm.so;5234;17062
LEX::set_trg_event_type_for_tables();mysqld;651;17036
insert_precheck(THD*, TABLE_LIST*);mysqld;630;17010
gcomm::evs::UserMessage::serial_size() const;libgalera_smm.so;3401;17005
TABLE_LIST::prep_where(THD*, Item**, bool);mysqld;629;16983
Item_sum::init_sum_func_check(THD*);mysqld;626;16915
getdelim;libc.so.6;177;16655
make_field(TABLE_SHARE*, st_mem_root*, unsigned char*, unsigned int, unsigned char*, unsigned char, unsigned int, enum_field_types, charset_info_st const*, Field::geometry_type, unsigned int, Field::utype, st_typelib*, char const*);mysqld;220;16607
gcomm::Datagram::Datagram(gcomm::Datagram const&, unsigned long) [clone .constprop.696];libgalera_smm.so;919;16542
rpl_binlog_state::element::update_element(rpl_gtid const*);mysqld;632;16432
my_b_gets;mysqld;54;16391
plugin_unlock(THD*, st_plugin_int*);mysqld;685;16388
Field_string::real_type() const;mysqld;3274;16370
_IO_padn;libc.so.6;523;16313
Item_field::register_field_in_read_map(void*);mysqld;625;16250
TABLE::prepare_triggers_for_update_stmt_or_event();mysqld;1250;16250
JOIN::init_items_ref_array();mysqld;625;16250
get_sys_var_value_origin(void*);mysqld;8;16176
Field::key_length() const;mysqld;2683;16098
gcomm::GMCast::check_liveness();libgalera_smm.so;56;16082
gcomm::evs::Proto::is_flow_control(long, long) const;libgalera_smm.so;1452;15972
plugin_opt_set_limits(my_option*, st_mysql_sys_var const*);mysqld;453;15944
gcomm::evs::SelectNodesOp std::for_each<std::_Rb_tree_const_iterator<std::pair<gcomm::UUID const, gcomm::evs::MessageNode> >, gcomm::evs::SelectNodesOp>(std::_Rb_tree_const_iterator<std::pair<gcomm::UUID const, gcomm::evs::MessageNode> >, std::_Rb_tree_const_iterator<std::pair<gcomm::UUID const, gcomm::evs::MessageNode> >, gcomm::evs::SelectNodesOp);libgalera_smm.so;70;15887
wsrep_cleanup_transaction(THD*);mysqld;632;15800
Set_signal_information::clear();mysqld;656;15744
gcomm::Protostack::handle_timers();libgalera_smm.so;176;15664
Item_sum_sum::val_decimal(my_decimal*);mysqld;625;15625
handler::ha_close();mysqld;652;15618
_Unwind_RaiseException;libgcc_s.so.1;98;15566
MDL_context::fix_pins();mysqld;3804;15336
__write_nocancel;libpthread.so.0;0;15327
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&);libstdc++.so.6;341;15255
SHA1_Update;libcrypto.so.1.0.0;310;15236
MDL_wait_for_subgraph::~MDL_wait_for_subgraph();mysqld;3804;15216
__pthread_once;libpthread.so.0;3039;15189
gcache::GCache::free_common(gcache::BufferHeader*);libgalera_smm.so;632;15168
bitmap_get_first;mysqld;629;15096
delete_queue;mysqld;1253;15036
check_key_in_view(THD*, TABLE_LIST*);mysqld;2506;15036
Sj_materialization_picker::set_empty();mysqld;2504;15024
LooseScan_picker::set_empty();mysqld;2504;15024
Firstmatch_picker::set_empty();mysqld;2504;15024
Firstmatch_picker::check_qep(JOIN*, unsigned int, unsigned long long, st_join_table const*, double*, double*, unsigned long long*, sj_strategy_enum*, st_position*);mysqld;2504;15024
Field::sort_length() const;mysqld;2502;15012
partition_key_modified(TABLE*, st_bitmap const*);mysqld;1250;15000
Item_field::Item_field(THD*, Item_field*);mysqld;625;15000
Field::sort_charset() const;mysqld;2500;15000
Field::key_cmp(unsigned char const*, unsigned char const*);mysqld;2500;15000
records_are_comparable(TABLE const*);mysqld;1250;15000
std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const;libstdc++.so.6;157;14740
operator new(unsigned long)@plt;libstdc++.so.6;14716;14718
std::ios_base::_M_init();libstdc++.so.6;612;14688
_IO_fgets;libc.so.6;235;14662
__nptl_deallocate_tsd.part.4;libpthread.so.0;22;14638
Write_rows_log_event::Write_rows_log_event(THD*, TABLE*, unsigned long, bool);mysqld;861;14637
Query_cache::invalidate_table(THD*, TABLE*);mysqld;2083;14581
boost::date_time::split_timedate_system<boost::posix_time::posix_time_system_config>::get_time_rep(boost::gregorian::date const&, boost::posix_time::time_duration const&, boost::date_time::dst_flags);libgalera_smm.so;442;14566
ending_trans(THD*, bool);mysqld;2079;14553
Field_string::key_type() const;mysqld;1322;14542
Field::cmp_binary(unsigned char const*, unsigned char const*, unsigned int);mysqld;968;14520
Xid_log_event::write();mysqld;629;14467
mysql_bin_log_commit_pos(THD*, unsigned long long*, char const**);mysqld;629;14467
TABLE::mark_columns_needed_for_insert();mysqld;629;14467
asio::detail::consuming_buffers_iterator<asio::const_buffer, asio::const_buffer const*>::equal(asio::detail::consuming_buffers_iterator<asio::const_buffer, asio::const_buffer const*> const&) const;libgalera_smm.so;3594;14382
set_postjoin_aggr_write_func(st_join_table*);mysqld;625;14375
sys_var_pluginvar::sys_var_pluginvar(sys_var_chain*, char const*, st_plugin_int*, st_mysql_sys_var*);mysqld;226;14322
Item_func_hybrid_field_type::val_int();mysqld;473;14190
vprint_msg_to_log(loglevel, char const*, __va_list_tag*);mysqld;139;14070
OBJ_NAME_add;libcrypto.so.1.0.0;343;13804
Item_sum_sum::clear();mysqld;625;13750
Item_sum_sum::val_str(String*);mysqld;625;13750
Explain_delete::~Explain_delete();mysqld;625;13750
std::basic_ios<char, std::char_traits<char> >::init(std::basic_streambuf<char, std::char_traits<char> >*);libstdc++.so.6;608;13376
LEX::LEX();mysqld;37;13357
operator delete(void*)@plt;libstdc++.so.6;13247;13249
wsrep_trans_cache_is_empty(THD*);mysqld;629;13209
instantiate_tmp_table(TABLE*, st_key*, st_maria_columndef*, st_maria_columndef**, unsigned long long);mysqld;629;13209
my_bitmap_free;mysqld;3284;13156
Item_sum_sum::cmp_type() const;mysqld;1878;13146
lf_pinbox_free;mysqld;691;13129
std::ctype<char> const& std::use_facet<std::ctype<char> >(std::locale const&);libstdc++.so.6;687;13053
operator delete[](void*);libstdc++.so.6;13037;13037
std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow(int);libstdc++.so.6;171;12909
operator delete[](void*)@plt;libgalera_smm.so;12879;12879
operator new[](unsigned long)@plt;libgalera_smm.so;12879;12879
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long);libstdc++.so.6;187;12854
my_vsnprintf;mysqld;1428;12852
append_unescaped(String*, char const*, unsigned int);mysqld;97;12830
bool std::has_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&);libstdc++.so.6;608;12768
bool std::has_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&);libstdc++.so.6;608;12768
bool std::has_facet<std::ctype<char> >(std::locale const&);libstdc++.so.6;608;12768
gcache::GCache::seqno_release(long);libgalera_smm.so;10;12613
bitmap_set_next;mysqld;629;12580
MDL_lock::MDL_scoped_lock::incompatible_granted_types_bitmap() const;mysqld;2514;12570
MDL_lock::MDL_scoped_lock::incompatible_waiting_types_bitmap() const;mysqld;2512;12560
Field::binary() const;mysqld;2509;12545
std::locale::~locale();libstdc++.so.6;1251;12510
radixsort_is_appliccable;mysqld;1250;12500
Item_func_between::functype() const;mysqld;2500;12500
build_normalized_name(char*, unsigned long, char const*, unsigned long, char const*, unsigned long, unsigned long);mysqld;204;12444
lex_end_stage1(LEX*);mysqld;656;12424
Field::pack_length_in_rec() const;mysqld;2067;12402
__tls_get_addr@plt;libgalera_smm.so;12326;12326
asio::ssl::detail::openssl_init_base::do_init::openssl_locking_func(int, int, char const*, int);libgalera_smm.so;276;12282
std::locale::_Impl::_M_install_facet(std::locale::id const*, std::locale::facet const*);libstdc++.so.6;30;12240
THD::binlog_prepare_row_images(TABLE*);mysqld;486;12150
thd_key_create;mysqld;0;12117
Write_rows_log_event::~Write_rows_log_event();mysqld;861;12054
_dl_allocate_tls_init;ld-linux-x86-64.so.2;40;11986
MYSQL_BIN_LOG::unlog(unsigned long, unsigned long long);mysqld;629;11951
handler::ha_drop_table(char const*);mysqld;629;11951
st_select_lex_node::init_query();mysqld;1326;11934
strcasestr;libc.so.6;29;11898
parse_option_list(THD*, handlerton*, void*, engine_option_value**, st_ha_create_table_option*, bool, st_mem_root*);mysqld;281;11809
toupper;libc.so.6;1163;11630
std::locale::operator=(std::locale const&);libstdc++.so.6;612;11628
Rows_log_event::get_type_code();mysqld;2315;11575
lh_delete;libcrypto.so.1.0.0;270;11553
std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&);libstdc++.so.6;608;11552
std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&);libstdc++.so.6;608;11552
void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [clone .isra.364];libgalera_smm.so;315;11427
my_once_strdup;mysqld;406;11368
handler::ha_release_auto_increment();mysqld;629;11362
my_tmpdir;mysqld;1892;11352
Explain_insert::~Explain_insert();mysqld;629;11322
delete_precheck(THD*, TABLE_LIST*);mysqld;626;11268
THD::inc_status_sort_rows(unsigned long long);mysqld;1250;11250
ACL_internal_schema_registry::lookup(char const*);mysqld;224;11188
plugin_foreach_with_mask(THD*, char (*)(THD*, st_plugin_int*, void*), int, unsigned int, void*);mysqld;33;11141
io_getevents;libaio.so.1;1002;11018
gcomm::evs::Proto::check_inactive();libgalera_smm.so;47;10842
OBJ_NAME_remove;libcrypto.so.1.0.0;264;10773
std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_float(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&) const;libstdc++.so.6;46;10759
gu::ReservedAllocator<gu_buf, 16, false>::deallocate(gu_buf*, unsigned long);libgalera_smm.so;632;10744
galera::WriteSetOut::check_size() [clone .isra.248];libgalera_smm.so;632;10744
gcs_act_proto_write(gcs_act_frag*, void*, unsigned long);libgalera_smm.so;632;10744
asio::detail::consuming_buffers_iterator<asio::mutable_buffer, asio::mutable_buffer const*>::equal(asio::detail::consuming_buffers_iterator<asio::mutable_buffer, asio::mutable_buffer const*> const&) const;libgalera_smm.so;2678;10712
Update_rows_log_event::~Update_rows_log_event();mysqld;968;10648
__sprintf_chk;libc.so.6;703;10545
__strtoull_internal;libc.so.6;3507;10521
Table_map_log_event::get_type_code();mysqld;2083;10415
Annotate_rows_log_event::write_data_header();mysqld;2083;10415
Annotate_rows_log_event::get_type_code();mysqld;2083;10415
Annotate_rows_log_event::get_data_size();mysqld;2083;10415
find_type;mysqld;70;10410
read_texts(char const*, char const*, char const****);mysqld;1;10244
THD::end_statement();mysqld;640;10240
gcache::RingBuffer::malloc(unsigned int);libgalera_smm.so;632;10112
gu::Config::add(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&);libgalera_smm.so;27;10001
sys_var_add_options(st_dynamic_array*, int);mysqld;2;10001
DsMrr_impl::check_cpk_scan(THD*, TABLE_SHARE*, unsigned int, unsigned int);mysqld;2500;10000
std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, gu::Config::Parameter>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, gu::Config::Parameter> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, gu::Config::Parameter> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const;libgalera_smm.so;62;9956
Item_hybrid_func::result_type() const;mysqld;1419;9933
recvmsg;libpthread.so.0;4959;9918
__pwrite_nocancel;libpthread.so.0;0;9884
Item::make_field(THD*, Send_field*);mysqld;647;9705
Update_rows_log_event::get_general_type_code();mysqld;1936;9680
Field::cmp_binary_offset(unsigned int);mysqld;968;9680
trans_reset_one_shot_chistics(THD*);mysqld;645;9675
__fsync_nocancel;libpthread.so.0;0;9646
std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::_M_sync(char*, unsigned long, unsigned long);libstdc++.so.6;305;9619
Field::Field(unsigned char*, unsigned int, unsigned char*, unsigned char, Field::utype, char const*);mysqld;228;9576
THD::init();mysqld;26;9464
__snprintf_chk;libc.so.6;675;9450
get_trans_log(THD*);mysqld;629;9435
asio::detail::timer_queue<asio::time_traits<boost::posix_time::ptime> >::wait_duration_usec(long) const;libgalera_smm.so;292;9392
Type_handler_decimal_result::cmp_type() const;mysqld;1878;9390
Explain_query::add_upd_del_plan(Explain_update*);mysqld;1875;9375
st_select_lex::add_table_to_list(THD*, Table_ident*, st_mysql_lex_string*, unsigned long, thr_lock_type, enum_mdl_type, List<Index_hint>*, List<String>*, st_mysql_lex_string*);mysqld;25;9235
gcomm::Protonet::handle_timers();libgalera_smm.so;176;9152
thd_wait_begin;mysqld;585;9093
boost::date_time::split_timedate_system<boost::posix_time::posix_time_system_config>::add_time_duration(boost::posix_time::simple_time_rep const&, boost::posix_time::time_duration);libgalera_smm.so;148;9028
asio::detail::wait_handler<boost::_bi::bind_t<void, boost::_mfi::mf1<void, gcomm::AsioProtonet, asio::error_code const&>, boost::_bi::list2<boost::_bi::value<gcomm::AsioProtonet*>, boost::arg<1> (*)()> > >::do_complete(asio::detail::task_io_service*, asio::detail::task_io_service_operation*, asio::error_code const&, unsigned long);libgalera_smm.so;148;9011
std::basic_ostream<char, std::char_traits<char> >& std::basic_ostream<char, std::char_traits<char> >::_M_insert<long>(long);libstdc++.so.6;152;8947
pthread_create;libpthread.so.0;39;8946
system_filename;mysqld;738;8856
galera::MappedBuffer::clear();libgalera_smm.so;632;8848
asio::detail::timer_queue<asio::time_traits<boost::posix_time::ptime> >::get_ready_timers(asio::detail::op_queue<asio::detail::task_io_service_operation>&);libgalera_smm.so;144;8779
Item_field::cast_to_int_type() const;mysqld;1252;8764
update_precheck(THD*, TABLE_LIST*);mysqld;1252;8764
