Procedure;Image;Calls;Instructions
st_join_table::save_explain_data(Explain_table_access*, unsigned long long, bool, st_join_table*);mysqld;7060;2000927
JOIN::save_explain_data_intern(Explain_query*, bool, bool, bool, char const*);mysqld;8554;1996952
Item::operator new(unsigned long, st_mem_root*);mysqld;249435;1995480
Item_field::fix_fields(THD*, Item**);mysqld;23382;1992478
gcomm::evs::InputMap::insert(unsigned long, gcomm::evs::UserMessage const&, gcomm::Datagram const&);libgalera_smm.so;2522;1976915
first_linear_tab(JOIN*, enum_with_bush_roots, enum_with_const_tables);mysqld;96258;1946032
Item_sum_sum::add_helper(bool);mysqld;32474;1915966
fill_record(THD*, TABLE*, List<Item>&, List<Item>&, bool, bool);mysqld;11593;1897181
JOIN::cleanup(bool);mysqld;17113;1864005
Field_long::val_int();mysqld;201088;1809792
Log_event_writer::encrypt_and_write(unsigned char const*, unsigned long);mysqld;56546;1809472
Field_long::cmp(unsigned char const*, unsigned char const*);mysqld;136085;1769105
my_strnxfrm_simple;mysqld;64687;1746549
end_send_group(JOIN*, st_join_table*, bool);mysqld;33099;1736148
query_cache_query_get_key;mysqld;75470;1735810
Protocol_binary::store(Field*);mysqld;101713;1729121
key_copy(unsigned char*, unsigned char*, st_key*, unsigned int, bool);mysqld;32268;1710276
handler::ha_rnd_pos(unsigned char*, unsigned char*);mysqld;32422;1685944
Item_func::fix_fields(THD*, Item**);mysqld;11064;1675503
net_store_length;mysqld;209146;1675064
_IO_vfprintf;libc.so.6;2614;1665725
Item_param::used_tables() const;mysqld;182190;1639710
thd_test_options;mysqld;272576;1635456
my_malloc;mysqld;42264;1621018
handler::ha_rnd_next(unsigned char*);mysqld;33073;1618652
pthread_rwlock_wrlock;libpthread.so.0;62078;1614028
.text;mysqld;0;1606858
std::tr1::_Hashtable<galera::KeyEntryNG*, galera::KeyEntryNG*, std::allocator<galera::KeyEntryNG*>, std::_Identity<galera::KeyEntryNG*>, galera::KeyEntryPtrEqualNG, galera::KeyEntryPtrHashNG, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::find(galera::KeyEntryNG* const&);libgalera_smm.so;38523;1592800
find_field_in_table(THD*, TABLE*, char const*, unsigned int, bool, unsigned int*);mysqld;23382;1567178
galera::Certification::purge_for_trx_v3(galera::TrxHandle*);libgalera_smm.so;632;1561202
handler::ha_write_tmp_row(unsigned char*);mysqld;32426;1556448
THD::check_limit_rows_examined();mysqld;217632;1523424
my_hash_insert;mysqld;10264;1509334
do_command(THD*);mysqld;12543;1492617
get_lock_data(THD*, TABLE**, unsigned int, unsigned int);mysqld;11069;1484013
my_timer_cycles;mysqld;208315;1458205
mysql_lock_tables(THD*, st_mysql_lock*, unsigned int);mysqld;11068;1450013
my_longlong10_to_str_8bit;mysqld;14375;1437500
_IO_vfscanf;libc.so.6;1654;1400315
pthread_mutex_init;libpthread.so.0;51699;1396995
free_root;mysqld;41366;1387447
Field_string::store(char const*, unsigned int, charset_info_st const*);mysqld;21749;1370187
net_send_ok(THD*, unsigned int, unsigned int, unsigned long long, unsigned long long, char const*, bool, bool);mysqld;12310;1360925
Query_cache::unlock();mysqld;36485;1349945
Protocol::write();mysqld;110926;1331112
.text;mysqld;0;1325376
Field_string::unpack(unsigned char*, unsigned char const*, unsigned char const*, unsigned int);mysqld;32265;1322865
ha_commit_trans(THD*, bool);mysqld;11891;1311914
JOIN::exec_inner();mysqld;8554;1291498
Query_cache::insert_into_free_memory_list(Query_cache_block*);mysqld;42106;1263180
JOIN::make_aggr_tables_info();mysqld;7064;1262585
Item::set_name(THD*, char const*, unsigned int, charset_info_st const*);mysqld;20040;1261896
reinit_stmt_before_use(THD*, LEX*);mysqld;11875;1251875
Item_ident::get_depended_from() const;mysqld;156438;1251504
init_dynamic_array2;mysqld;53644;1237930
__clock_gettime;libc.so.6;72680;1235560
tdc_acquire_share(THD*, TABLE_LIST*, unsigned int, TABLE**);mysqld;11085;1208777
handler::ha_thd() const;mysqld;120733;1207309
my_charset_same;mysqld;173927;1196712
close_thread_tables(THD*);mysqld;19752;1186437
setup_tables(THD*, Name_resolution_context*, List<TABLE_LIST>*, TABLE_LIST*, List<TABLE_LIST>&, bool, bool);mysqld;11067;1186169
Prepared_statement::execute_bulk_loop(String*, bool, unsigned char*, unsigned char*);mysqld;0;1170395
st_join_table::cleanup();mysqld;17725;1160907
asio::detail::write_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::const_buffer, 2ul>, asio::detail::transfer_all_t, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > >::operator()(asio::error_code const&, unsigned long, int);libgalera_smm.so;7186;1146014
.text;mysqld;0;1140726
my_hash_sort_simple;mysqld;32423;1134789
TABLE::init(THD*, TABLE_LIST*);mysqld;11085;1132190
my_b_safe_write;mysqld;56547;1126351
check_grant(THD*, unsigned long, TABLE_LIST*, bool, unsigned int, bool);mysqld;11270;1125980
setup_conds(THD*, TABLE_LIST*, List<TABLE_LIST>&, Item**);mysqld;10437;1124027
mysql_insert(THD*, TABLE_LIST*, List<Item>&, List<List<Item> >&, List<Item>&, List<Item>&, enum_duplicates, bool);mysqld;629;1120757
Item_string::Item_string(THD*, char const*, unsigned int, charset_info_st const*, Derivation, unsigned int);mysqld;20003;1120168
vio_read;mysqld;25107;1105695
Item_bool_func::get_mm_leaf(RANGE_OPT_PARAM*, Field*, KEY_PART*, Item_func::Functype, Item*);mysqld;8750;1092500
sql_strmake_with_convert(THD*, char const*, unsigned long, charset_info_st const*, unsigned long, charset_info_st const*, unsigned long*);mysqld;20008;1080432
Field::key_cmp(unsigned char const*, unsigned int);mysqld;133585;1068680
lock_tables(THD*, TABLE_LIST*, unsigned int, unsigned int);mysqld;11072;1062982
THD::binlog_get_pending_rows_event(bool) const;mysqld;39237;1059051
String_list::append_str(st_mem_root*, char const*);mysqld;22418;1053646
gcomm::AsioProtonet::event_loop(gu::datetime::Period const&);libgalera_smm.so;29;1049345
thd_kill_level;mysqld;149570;1046990
my_hash_delete;mysqld;9403;1046603
strmake;mysqld;12352;1046336
operator new(unsigned long);libstdc++.so.6;95110;1046210
next_linear_tab(JOIN*, st_join_table*, enum_with_bush_roots);mysqld;45277;1042621
Field::make_sort_key(unsigned char*, unsigned int);mysqld;64687;1034992
Item_bool_func::get_mm_parts(RANGE_OPT_PARAM*, Field*, Item_func::Functype, Item*);mysqld;6875;1032500
lf_hash_search_using_hash_value;mysqld;13081;1031420
Field_long::type() const;mysqld;206172;1030860
THD::reset_for_next_command(bool);mysqld;12527;1030474
galera_append_key;libgalera_smm.so;12079;1022813
Query_cache::exclude_from_free_memory_list(Query_cache_block*);mysqld;42105;1010520
st_select_lex::update_used_tables();mysqld;8567;1003420
THD::binlog_flush_pending_rows_event(bool, bool);mysqld;27162;992373
String::append(char const*, unsigned long);mysqld;29425;958310
String_copier::well_formed_copy(charset_info_st const*, char*, unsigned int, charset_info_st const*, char const*, unsigned int, unsigned int);mysqld;23910;956544
handler::ha_external_lock(THD*, int);mysqld;22150;952450
Arg_comparator::set_cmp_func(Item_func_or_sum*, Item**, Item**);mysqld;12481;948580
check_stack_overrun(THD*, long, unsigned char*);mysqld;39462;947088
my_string_repertoire_8bit;mysqld;1879;946927
my_hash_first;mysqld;34926;943635
bitmap_fast_test_and_set;mysqld;58038;928608
MDL_context::find_ticket(MDL_request*, enum_mdl_duration*);mysqld;13604;927637
THD::inc_sent_row_count(unsigned long long);mysqld;102346;921114
alloc_query(THD*, char const*, unsigned int);mysqld;11901;916385
Item_field::send(Protocol*, String*);mysqld;101721;915489
use_trans_cache(THD const*, bool);mysqld;52141;913953
mysql_lock_tables(THD*, TABLE**, unsigned int, unsigned int);mysqld;11068;911565
sel_arg_range_seq_next(void*, st_key_multi_range*);mysqld;8750;908125
ftime;libc.so.6;31250;906250
recv;libpthread.so.0;25154;905779
my_strtoll10;mysqld;10015;900950
wsrep_register_hton(THD*, bool);mysqld;11906;900069
get_quick_keys(PARAM*, QUICK_RANGE_SELECT*, KEY_PART*, SEL_ARG*, unsigned char*, unsigned int, unsigned char*, unsigned int);mysqld;4375;892500
copy_fields(TMP_TABLE_PARAM*);mysqld;33047;888519
my_vsnprintf_ex;mysqld;1429;888468
asio::detail::read_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::mutable_buffer, 1ul>, boost::_bi::bind_t<unsigned long, boost::_mfi::mf2<unsigned long, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > >::operator()(asio::error_code const&, unsigned long, int);libgalera_smm.so;5358;886850
Query_arena::free_items();mysqld;19960;881563
Field::set_explicit_default(Item*);mysqld;33468;870168
Item_field::update_used_tables();mysqld;33407;868582
mysql_update(THD*, TABLE_LIST*, List<Item>&, List<Item>&, Item*, unsigned int, st_order*, unsigned long long, enum_duplicates, bool, unsigned long long*, unsigned long long*);mysqld;1250;861370
create_tmp_table(THD*, TMP_TABLE_PARAM*, List<Item>&, st_order*, bool, bool, unsigned long long, unsigned long long, char const*, bool, bool);mysqld;629;860973
check_table_access(THD*, unsigned long, TABLE_LIST*, bool, unsigned int, bool);mysqld;8760;858464
Log_event_writer::write_internal(unsigned char const*, unsigned long);mysqld;56546;848190
my_free;mysqld;56720;846384
st_select_lex::cleanup();mysqld;20876;842333
Field_long::store(long long, bool);mysqld;36519;839937
thd_get_ha_data;mysqld;139244;835464
net_real_write;mysqld;12540;827640
Explain_query::~Explain_query();mysqld;11058;819956
Item_func::update_used_tables();mysqld;13559;817356
