Procedure;Image;Calls;Instructions
Field_long::val_int();mysqld;2471442;22242978
Query_arena::free_items();mysqld;25366;21935193
Item_string::save_in_field(Field*, bool);mysqld;1280448;21767616
Item::save_str_value_in_field(Field*, String*);mysqld;1280448;21767616
Item_param::val_int();mysqld;882802;21187248
Protocol::send_result_set_row(List<Item>*);mysqld;330820;21172546
fill_record_n_invoke_before_triggers(THD*, TABLE*, List<Item>&, List<Item>&, bool, trg_event_type);mysqld;640542;21137886
bitmap_bits_set;mysqld;640876;19867156
my_net_write;mysqld;362447;19572138
asio::detail::write_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::const_buffer, 2ul>, asio::detail::transfer_all_t, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > >::operator()(asio::error_code const&, unsigned long, int);libgalera_smm.so;117646;18753372
.text;[vdso];0;18011658
THD::binlog_get_pending_rows_event(bool) const;mysqld;657504;17748384
Item_int::save_in_field(Field*, bool);mysqld;640000;17280000
max_row_length(TABLE*, unsigned char const*);mysqld;640876;16662776
my_charset_is_ascii_based;mysqld;1280216;16642808
my_charset_same;mysqld;1707192;16463323
filesort(THD*, TABLE*, Filesort*, Filesort_tracker*, JOIN*, unsigned long long);mysqld;658;15791389
Protocol::store_string_aux(char const*, unsigned long, charset_info_st const*, charset_info_st const*);mysqld;424933;15485826
select_send::send_data(List<Item>&);mysqld;330820;14886900
strmake_root;mysqld;669379;14726338
pthread_cond_destroy;libpthread.so.0;446192;14724336
String::numchars() const;mysqld;1280216;14082376
Field::send_binary(Protocol*);mysqld;330486;13549926
TABLE_LIST::view_check_option(THD*, bool);mysqld;640542;13451382
key_cmp(st_key_part_info*, unsigned char const*, unsigned int);mysqld;440676;13225549
Protocol::net_store_data(unsigned char const*, unsigned long);mysqld;330814;12901746
Item_field::field_for_view_update();mysqld;2562074;12810370
Item_string::type() const;mysqld;2560222;12801110
Field_string::val_str(String*, String*);mysqld;330651;12234087
thd_get_ha_data;mysqld;2038483;12230898
THD::binlog_setup_trx_data();mysqld;658858;11860468
gu::Cond::~Cond();libgalera_smm.so;393225;11796750
use_trans_cache(THD const*, bool);mysqld;692016;11782376
Mrr_simple_index_reader::get_next(void**);mysqld;441666;11037042
gcomm::AsioProtonet::event_loop(gu::datetime::Period const&);libgalera_smm.so;964;10819852
galera_post_commit;libgalera_smm.so;586;10380883
Field_longstr::max_data_length() const;mysqld;1281752;10254016
TABLE::verify_constraints(bool);mysqld;640542;10248672
handler::read_range_next();mysqld;439028;10102900
Field_long::pack(unsigned char*, unsigned char const*, unsigned int);mysqld;1391339;9739373
Write_rows_log_event::get_general_type_code();mysqld;1935252;9676260
sub_select(JOIN*, st_join_table*, bool);mysqld;2964;9371787
QUICK_RANGE_SELECT::get_next();mysqld;441666;9274986
realloc;libc.so.6;109294;9215879
THD::check_limit_rows_examined();mysqld;1306363;9144541
void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.240];libgalera_smm.so;294036;9118461
Field_string::sort_string(unsigned char*, unsigned int);mysqld;219848;9013768
net_store_length;mysqld;1118207;8947990
handler::multi_range_read_next(void**);mysqld;441666;8890920
longlong2decimal;mysqld;109598;8877438
DsMrr_impl::dsmrr_next(void**);mysqld;441666;8847144
handler::compare_key(st_key_range*);mysqld;440676;8814311
my_strxfrm_pad_desc_and_reverse;mysqld;219848;8793920
my_hash_first_from_hash_value;mysqld;24244;8766598
my_fill_8bit;mysqld;1390943;8345658
asio::detail::read_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::mutable_buffer, 1ul>, boost::_bi::bind_t<unsigned long, boost::_mfi::mf2<unsigned long, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > >::operator()(asio::error_code const&, unsigned long, int);libgalera_smm.so;50342;8331702
my_lengthsp_8bit;mysqld;330653;8290685
gcomm::AsioTcpSocket::read_handler(asio::error_code const&, unsigned long);libgalera_smm.so;25170;8242132
Item::check_cols(unsigned int);mysqld;1972449;7889796
Field::max_data_length() const;mysqld;1281752;7690512
Item_string::~Item_string();mysqld;1280472;7682832
my_numchars_8bit;mysqld;1280216;7681296
asio::detail::reactive_socket_send_op_base<asio::detail::consuming_buffers<asio::const_buffer, std::tr1::array<asio::const_buffer, 2ul> > >::do_perform(asio::detail::reactor_op*);libgalera_smm.so;58824;7647078
gcomm::AsioTcpSocket::send(gcomm::Datagram const&);libgalera_smm.so;58823;7548550
Item_field::val_int();mysqld;442566;7519538
_IO_vfscanf;libc.so.6;8279;7032897
Field_long::type() const;mysqld;1391400;6957000
gcomm::crc32(gcomm::NetHeader::checksum, gcomm::Datagram const&, unsigned long);libgalera_smm.so;102781;6694476
pthread_cond_init;libpthread.so.0;446201;6693015
__clock_gettime;libc.so.6;391872;6661824
Protocol_binary::prepare_for_resend();mysqld;330814;6616280
Field_long::pack_length() const;mysqld;1301367;6506835
Item_sum_sum::add_helper(bool);mysqld;109598;6466282
Lex_input_stream::body_utf8_append(char const*);mysqld;1293128;6465640
Item_int::type() const;mysqld;1284084;6420420
TABLE::reset_default_fields();mysqld;641640;6416400
gcomm::evs::Proto::handle_up(void const*, gcomm::Datagram const&, gcomm::ProtoUpMeta const&);libgalera_smm.so;43945;6371915
_IO_vfprintf;libc.so.6;7673;6279912
gcomm::AsioTcpSocket::write_one(std::tr1::array<asio::const_buffer, 2ul> const&);libgalera_smm.so;58822;6235132
gcomm::AsioTcpSocket::write_handler(asio::error_code const&, unsigned long);libgalera_smm.so;58822;6154320
galera::ReplicatorSMM::ReplicatorSMM(wsrep_init_args const*);libgalera_smm.so;1;6095701
gcomm::evs::Message::Message(unsigned char, gcomm::evs::Message::Type, gcomm::UUID const&, gcomm::ViewId const&, gcomm::ViewId const&, unsigned char, gcomm::Order, long, long, long, long, unsigned char, gcomm::UUID const&, gcomm::evs::Range, gcomm::evs::MessageNodeList const&);libgalera_smm.so;62197;5970930
my_strnxfrm_simple;mysqld;219848;5935896
Protocol::net_store_data_cs(unsigned char const*, unsigned long, charset_info_st const*, charset_info_st const*);mysqld;94119;5929497
my_realloc;mysqld;124742;5922741
gcomm::GMCast::handle_up(void const*, gcomm::Datagram const&, gcomm::ProtoUpMeta const&);libgalera_smm.so;43963;5912456
